Year,Region,District,Cycle,Number of households,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female,Facilities
2019,Greater Accra,DISTRICT5454,3,5859,1428,1165,1083,4861,FAC9378
2019,Greater Accra,DISTRICT5454,4,7045,1457,4525,1371,1712,FAC9378
2019,Greater Accra,DISTRICT5454,1,3772,1511,1492,1072,2982,FAC5759
2019,Greater Accra,DISTRICT5454,2,9143,1773,3998,1786,2484,FAC5759
2019,Greater Accra,DISTRICT5454,3,2880,979,4325,853,2695,FAC5759
2019,Greater Accra,DISTRICT5454,4,5803,1221,2304,1236,1232,FAC5759
2019,Greater Accra,DISTRICT5454,1,8936,905,2580,1088,4351,FAC5001
2019,Greater Accra,DISTRICT5454,2,1158,749,3517,1453,4073,FAC5001
2019,Greater Accra,DISTRICT5454,3,9358,1011,2366,1115,2107,FAC5001
2019,Greater Accra,DISTRICT5454,4,6477,1210,1749,926,1052,FAC5001
2019,Greater Accra,DISTRICT5454,1,9019,1368,4205,1251,2617,FAC257
2019,Greater Accra,DISTRICT5454,2,1834,1485,2495,1520,4028,FAC257
2019,Greater Accra,DISTRICT5454,3,9431,1767,3074,1112,2664,FAC257
2019,Greater Accra,DISTRICT5454,4,8714,528,3043,1137,3134,FAC257
2019,Northern,DISTRICT3210,1,8625,623,4037,1699,2791,FAC3828
2019,Northern,DISTRICT3210,2,6689,1369,4853,1511,2942,FAC3828
2019,Northern,DISTRICT3210,3,6560,1586,823,1109,4312,FAC3828
2019,Northern,DISTRICT3210,4,9150,1665,1824,1084,3154,FAC3828
2019,Northern,DISTRICT3210,1,9974,1739,4335,1005,1241,FAC2261
2019,Northern,DISTRICT3210,2,6482,893,2503,1250,2441,FAC2261
2019,Northern,DISTRICT3210,3,7508,1432,4075,1442,3984,FAC2261
2019,Northern,DISTRICT3210,4,7750,500,974,1154,4856,FAC2261
2019,Northern,DISTRICT5875,1,8248,1920,1002,1751,1933,FAC1190
2019,Northern,DISTRICT5875,2,2878,1765,4394,1152,4883,FAC1190
2019,Northern,DISTRICT5875,3,9051,1015,2856,743,1362,FAC1190
2019,Northern,DISTRICT5875,4,9355,1303,1146,1228,4749,FAC1190
2019,Northern,DISTRICT5875,1,6022,647,2850,733,4731,FAC3038
2019,Northern,DISTRICT5875,2,7304,1627,1272,1917,1523,FAC3038
2019,Northern,DISTRICT5875,3,1744,1223,4201,791,4400,FAC3038
2019,Northern,DISTRICT5875,4,3112,885,3744,1462,3568,FAC3038
2019,Northern,DISTRICT5875,1,6842,1021,2614,549,1541,FAC7212
2019,Northern,DISTRICT5875,2,4191,1693,2597,1864,2815,FAC7212
2019,Northern,DISTRICT5875,3,2232,1490,2704,1914,2590,FAC7212
2019,Northern,DISTRICT5875,4,6054,1016,4811,1863,4481,FAC7212
2019,Northern,DISTRICT9066,1,5915,1781,4354,1395,3385,FAC358
2019,Northern,DISTRICT9066,2,6805,1730,2733,1942,1797,FAC358
2019,Northern,DISTRICT9066,3,4331,1694,1699,1416,1552,FAC358
2019,Northern,DISTRICT9066,4,9906,848,4731,837,972,FAC358
2019,Northern,DISTRICT9066,1,8092,1527,4199,1153,3573,FAC587
2019,Northern,DISTRICT9066,2,5313,1804,1626,1383,2768,FAC587
2019,Northern,DISTRICT9066,3,8262,930,3401,1583,2868,FAC587
2019,Northern,DISTRICT9066,4,7708,1791,3241,868,3563,FAC587
2019,Upper East,DISTRICT7342,1,9193,1825,3747,1313,2817,FAC273
2019,Upper East,DISTRICT7342,2,8417,607,4887,1906,2715,FAC273
2019,Upper East,DISTRICT7342,3,4937,1463,4856,1119,4312,FAC273
2019,Upper East,DISTRICT7342,4,7774,786,4012,1625,1471,FAC273
2019,Upper East,DISTRICT7342,1,6909,955,2794,1593,1752,FAC8605
2019,Upper East,DISTRICT7342,2,6727,1183,2010,768,1301,FAC8605
2019,Upper East,DISTRICT7342,3,4160,1436,3550,758,1967,FAC8605
2019,Upper East,DISTRICT7342,4,7675,1639,1304,1470,4064,FAC8605
2019,Upper East,DISTRICT7342,1,7234,1617,2637,1778,2694,FAC8687
2019,Upper East,DISTRICT7342,2,9952,1218,2867,1816,2124,FAC8687
2019,Upper East,DISTRICT7342,3,3976,1224,2465,620,3637,FAC8687
2019,Upper East,DISTRICT7342,4,5387,1800,1371,1515,2050,FAC8687
2019,Upper East,DISTRICT2826,1,9767,1371,3357,1578,4940,FAC567
2019,Upper East,DISTRICT2826,2,8481,1799,3859,1197,4482,FAC567
2019,Upper East,DISTRICT2826,3,4864,847,4886,1330,4541,FAC567
2019,Upper East,DISTRICT2826,4,2695,1876,1872,1596,1456,FAC567
2019,Upper East,DISTRICT3696,1,7958,1975,1821,1637,4879,FAC4437
2019,Upper East,DISTRICT3696,2,7808,1143,2029,1930,2875,FAC4437
2019,Upper East,DISTRICT3696,3,8727,635,1080,1261,1835,FAC4437
2019,Upper East,DISTRICT3696,4,7411,1628,3655,656,2191,FAC4437
2019,Upper East,DISTRICT3696,1,2273,1252,4720,1788,1364,FAC5637
2019,Upper East,DISTRICT3696,2,7707,672,2975,627,1119,FAC5637
2019,Upper East,DISTRICT3696,3,6493,1383,3931,616,2129,FAC5637
2019,Upper East,DISTRICT3696,4,4513,645,4384,1226,2990,FAC5637
2019,Upper East,DISTRICT3696,1,4250,900,2844,1469,2274,FAC215
2019,Upper East,DISTRICT3696,2,7542,556,1179,1326,1174,FAC215
2019,Upper East,DISTRICT3696,3,9966,1552,4964,1039,3433,FAC215
2019,Upper East,DISTRICT3696,4,7554,1641,3366,758,3791,FAC215
2019,Upper East,DISTRICT7092,1,1012,1878,2791,1973,2987,FAC2139
2019,Upper East,DISTRICT7092,2,6520,652,2521,952,3653,FAC2139
2019,Upper East,DISTRICT7092,3,1352,546,3144,1492,4994,FAC2139
2019,Upper East,DISTRICT7092,4,4810,1373,4469,1396,963,FAC2139
2019,Upper East,DISTRICT7092,1,4102,1200,4252,1047,1122,FAC2688
2019,Upper East,DISTRICT7092,2,9215,1281,3308,522,1588,FAC2688
2019,Upper East,DISTRICT7092,3,9746,1766,3014,1480,1502,FAC2688
2019,Upper East,DISTRICT7092,4,3898,594,4091,1163,3066,FAC2688
2019,Upper East,DISTRICT7092,1,5974,873,3438,997,1004,FAC1524
2019,Upper East,DISTRICT7092,2,3635,1174,1885,792,4975,FAC1524
2019,Upper East,DISTRICT7092,3,1483,787,3750,1935,3267,FAC1524
2019,Upper East,DISTRICT7092,4,2612,1801,3325,1727,3029,FAC1524
2019,Upper East,DISTRICT7092,1,7324,1908,1850,772,3317,FAC6155
2019,Upper East,DISTRICT7092,2,6504,1027,2295,1312,3092,FAC6155
2019,Upper East,DISTRICT7092,3,8706,770,3405,1868,4529,FAC6155
2019,Upper East,DISTRICT7092,4,8770,1522,3370,1241,2064,FAC6155
2019,Upper East,DISTRICT7092,1,9247,529,2855,1267,1011,FAC1548
2019,Upper East,DISTRICT7092,2,7879,1696,4070,1953,4869,FAC1548
2019,Upper East,DISTRICT7092,3,9006,1305,4844,1256,2100,FAC1548
2019,Upper East,DISTRICT7092,4,1896,1685,2215,1482,1759,FAC1548
2019,Upper East,DISTRICT8519,1,9855,1268,1657,1354,4112,FAC5422
2019,Upper East,DISTRICT8519,2,4487,677,3514,895,2298,FAC5422
2019,Upper East,DISTRICT8519,3,6725,1751,4441,1246,3956,FAC5422
2019,Upper East,DISTRICT8519,4,6588,552,2878,792,1317,FAC5422
2019,Upper East,DISTRICT8519,1,6990,1703,1231,1941,3951,FAC6661
2019,Upper East,DISTRICT8519,2,8826,1430,3415,1657,2162,FAC6661
2019,Upper East,DISTRICT8519,3,6728,1095,2215,1131,2567,FAC6661
2019,Upper East,DISTRICT8519,4,2070,1455,3145,510,999,FAC6661
2019,Upper East,DISTRICT8519,1,3482,735,1801,921,1855,FAC2336
2019,Upper East,DISTRICT8519,2,9735,1405,2849,1600,1046,FAC2336
2019,Upper East,DISTRICT8519,3,1426,1152,1457,1523,4050,FAC2336
2019,Upper East,DISTRICT8519,4,1873,871,4025,956,4113,FAC2336
2019,Upper West,DISTRICT5436,1,2957,1827,2903,1416,3439,FAC6173
2019,Upper West,DISTRICT5436,2,1011,1861,1367,1223,2738,FAC6173
2019,Upper West,DISTRICT5436,3,8916,1200,1089,597,4037,FAC6173
2019,Upper West,DISTRICT5436,4,1092,1926,1248,1762,1411,FAC6173
2019,Upper West,DISTRICT5436,1,8828,652,3451,1513,1920,FAC7721
2019,Upper West,DISTRICT5436,2,7672,1966,992,1295,2302,FAC7721
2019,Upper West,DISTRICT5436,3,8542,815,1574,1734,2081,FAC7721
2019,Upper West,DISTRICT5436,4,9862,1276,4933,784,4882,FAC7721
2019,Upper West,DISTRICT5436,1,7669,1886,4590,749,2451,FAC2283
2019,Upper West,DISTRICT5436,2,4267,1668,1188,576,1341,FAC2283
2019,Upper West,DISTRICT5436,3,2613,872,2114,1154,3605,FAC2283
2019,Upper West,DISTRICT5436,4,1278,1945,4681,760,4454,FAC2283
2019,Upper West,DISTRICT5436,1,8049,1021,1767,1260,4131,FAC7762
2019,Upper West,DISTRICT5436,2,8814,1327,2852,1233,3839,FAC7762
2019,Upper West,DISTRICT5436,3,3581,1299,3398,633,1348,FAC7762
2019,Upper West,DISTRICT5436,4,5630,901,1160,1920,4413,FAC7762
2019,Upper West,DISTRICT9074,1,7763,1164,4369,519,4138,FAC1971
2019,Upper West,DISTRICT9074,2,8749,1626,893,1289,3006,FAC1971
2019,Upper West,DISTRICT9074,3,7783,787,3901,1733,1845,FAC1971
2019,Upper West,DISTRICT9074,4,7009,1197,1793,1846,4293,FAC1971
2019,Upper West,DISTRICT9074,1,8183,665,3078,1403,2458,FAC5657
2019,Upper West,DISTRICT9074,2,7312,979,1340,1958,3332,FAC5657
2019,Upper West,DISTRICT9074,3,2837,1243,4192,1104,1072,FAC5657
2019,Upper West,DISTRICT9074,4,9615,555,2347,850,3314,FAC5657
2019,Upper West,DISTRICT9074,1,1161,961,1191,1871,2063,FAC2368
2019,Upper West,DISTRICT9074,2,1864,949,3376,772,1553,FAC2368
2019,Upper West,DISTRICT9074,3,4916,1336,2968,1491,1513,FAC2368
2019,Upper West,DISTRICT9074,4,3279,1402,2020,578,2929,FAC2368
2019,Upper West,DISTRICT9074,1,8707,1347,2912,980,3742,FAC9554
2019,Upper West,DISTRICT9074,2,9793,1307,2352,960,3312,FAC9554
2019,Upper West,DISTRICT9074,3,8251,980,4189,1180,1035,FAC9554
2019,Upper West,DISTRICT9074,4,8713,1762,3622,1760,4322,FAC9554
2019,Upper West,DISTRICT568,1,7325,802,823,1638,2950,FAC494
2019,Upper West,DISTRICT568,2,3616,605,2339,858,2653,FAC494
2019,Upper West,DISTRICT568,3,1033,1872,2168,1266,1102,FAC494
2019,Upper West,DISTRICT568,4,6804,629,3356,1260,2745,FAC494
2019,Upper West,DISTRICT568,1,3881,1121,1454,1134,4797,FAC6703
2019,Upper West,DISTRICT568,2,8829,1037,2392,1672,2704,FAC6703
2019,Upper West,DISTRICT568,3,5113,869,2454,1034,3345,FAC6703
2019,Upper West,DISTRICT568,4,2284,1778,1546,1073,2526,FAC6703
2019,Upper West,DISTRICT568,1,6137,1057,1910,1335,2048,FAC9327
2019,Upper West,DISTRICT568,2,8593,1052,4736,1519,2981,FAC9327
2019,Upper West,DISTRICT568,3,2767,741,2788,1315,1296,FAC9327
2019,Upper West,DISTRICT568,4,4887,624,3065,1923,4358,FAC9327
2019,Volta,DISTRICT3786,1,5441,1652,2600,1023,1327,FAC2167
2019,Volta,DISTRICT3786,2,3626,1632,4408,1982,3382,FAC2167
2019,Volta,DISTRICT3786,3,4160,1973,3243,522,4383,FAC2167
2019,Volta,DISTRICT3786,4,5910,691,964,821,3072,FAC2167
2019,Volta,DISTRICT3786,1,1797,529,3442,1412,2080,FAC1721
2019,Volta,DISTRICT3786,2,2974,1494,2185,535,2329,FAC1721
2019,Volta,DISTRICT3786,3,1314,1593,1841,1848,3244,FAC1721
2019,Volta,DISTRICT3786,4,4929,746,4979,944,4112,FAC1721
2019,Volta,DISTRICT6292,1,4325,559,1009,1778,3641,FAC7622
2019,Volta,DISTRICT6292,2,1176,759,2162,1081,3675,FAC7622
2019,Volta,DISTRICT6292,3,4862,718,1172,651,4381,FAC7622
2019,Volta,DISTRICT6292,4,8272,1029,4871,1191,4705,FAC7622
2019,Volta,DISTRICT6292,1,1158,1011,4547,1619,1912,FAC3312
2019,Volta,DISTRICT6292,2,3032,1872,3797,1682,3186,FAC3312
2019,Volta,DISTRICT6292,3,8811,1495,2413,609,2087,FAC3312
2019,Volta,DISTRICT6292,4,8695,1622,3567,783,2006,FAC3312
2019,Volta,DISTRICT6292,1,3720,1672,2122,1848,1652,FAC2749
2019,Volta,DISTRICT6292,2,3109,583,4985,1339,3337,FAC2749
2019,Volta,DISTRICT6292,3,1751,1898,1401,1646,2444,FAC2749
2019,Volta,DISTRICT6292,4,3850,1183,4596,1694,1496,FAC2749
2019,Volta,DISTRICT2010,1,8537,666,4284,542,4043,FAC6728
2019,Volta,DISTRICT2010,2,5005,656,2322,963,3194,FAC6728
2019,Volta,DISTRICT2010,3,2043,1950,3669,634,3785,FAC6728
2019,Volta,DISTRICT2010,4,7618,1882,3699,1999,1567,FAC6728
2019,Volta,DISTRICT2010,1,9362,1624,2795,1143,3269,FAC7563
2019,Volta,DISTRICT2010,2,9195,1853,4827,1688,3320,FAC7563
2019,Volta,DISTRICT2010,3,4236,688,4131,784,4802,FAC7563
2019,Volta,DISTRICT2010,4,6357,751,2487,1658,3330,FAC7563
2019,Volta,DISTRICT3332,1,6124,1434,4640,1468,4298,FAC8203
2019,Volta,DISTRICT3332,2,4491,1237,4822,1157,2063,FAC8203
2019,Volta,DISTRICT3332,3,6514,1953,3942,1384,1666,FAC8203
2019,Volta,DISTRICT3332,4,6960,1694,1627,1305,3339,FAC8203
2019,Western,DISTRICT7432,1,5406,1316,2713,739,2890,FAC8984
2019,Western,DISTRICT7432,2,9832,1151,3658,619,1922,FAC8984
2019,Western,DISTRICT7432,3,5278,1165,3745,818,1589,FAC8984
2019,Western,DISTRICT7432,4,7249,1239,1418,1853,1208,FAC8984
2019,Western,DISTRICT7432,1,3048,618,4185,582,2889,FAC617
2019,Western,DISTRICT7432,2,5898,1035,4235,1130,4400,FAC617
2019,Western,DISTRICT7432,3,4307,1334,2496,1545,1991,FAC617
2019,Western,DISTRICT7432,4,7490,1512,1960,1218,892,FAC617
2019,Western,DISTRICT7432,1,2879,1385,3159,1453,3449,FAC5624
2019,Western,DISTRICT7432,2,1915,1113,2499,521,4521,FAC5624
2019,Western,DISTRICT7432,3,9389,1994,1128,922,1620,FAC5624
2019,Western,DISTRICT7432,4,7929,679,902,1927,3578,FAC5624
2019,Western,DISTRICT7432,1,7380,1385,4970,1886,2932,FAC3702
2019,Western,DISTRICT7432,2,7341,1353,1548,1347,2602,FAC3702
2019,Western,DISTRICT7432,3,2544,1447,1680,1834,3612,FAC3702
2019,Western,DISTRICT7432,4,2726,964,1481,530,3773,FAC3702
2019,Western,DISTRICT7432,1,3816,784,1477,559,995,FAC9605
2019,Western,DISTRICT7432,2,2640,931,3900,1357,4705,FAC9605
2019,Western,DISTRICT7432,3,4063,1200,3119,1080,2137,FAC9605
2019,Western,DISTRICT7432,4,8335,1683,2009,1992,4909,FAC9605
2019,Western,DISTRICT9216,1,8703,1995,2850,1020,2643,FAC5860
2019,Western,DISTRICT9216,2,9229,1021,1685,1844,2987,FAC5860
2019,Western,DISTRICT9216,3,2534,1367,2876,1160,3651,FAC5860
2019,Western,DISTRICT9216,4,5406,753,1944,1808,1624,FAC5860
2019,Western,DISTRICT9216,1,7959,1618,4114,528,2217,FAC8776
2019,Western,DISTRICT9216,2,6376,1044,1181,856,4446,FAC8776
2019,Western,DISTRICT9216,3,7948,1985,3068,1681,1257,FAC8776
2019,Western,DISTRICT9216,4,6185,1907,1371,1773,4466,FAC8776
2019,Western,DISTRICT9216,1,6429,1337,3869,1146,4060,FAC8811
2019,Western,DISTRICT9216,2,1227,705,2298,1653,3613,FAC8811
2019,Western,DISTRICT9216,3,2758,1810,1394,1389,1578,FAC8811
2019,Western,DISTRICT9216,4,3057,898,4319,943,2073,FAC8811
2019,Western,DISTRICT9216,1,1289,1844,4711,1070,1595,FAC855
2019,Western,DISTRICT9216,2,2071,1788,1132,1028,1427,FAC855
2019,Western,DISTRICT9216,3,1631,1806,4674,671,2645,FAC855
2019,Western,DISTRICT9216,4,5741,1076,3077,1632,2934,FAC855
2019,Western,DISTRICT9901,1,6411,869,1559,1207,4795,FAC9957
2019,Western,DISTRICT9901,2,4666,1917,3503,1439,4795,FAC9957
2019,Western,DISTRICT9901,3,5585,1649,2210,503,2368,FAC9957
2019,Western,DISTRICT9901,4,1317,873,3718,1456,1386,FAC9957
2019,Western,DISTRICT9901,1,5850,1584,1385,1952,3488,FAC1705
2019,Western,DISTRICT9901,2,8388,1500,4232,1128,1876,FAC1705
2019,Western,DISTRICT9901,3,5220,711,1637,1357,2956,FAC1705
2019,Western,DISTRICT9901,4,9293,1758,3119,1986,1710,FAC1705
2019,Western,DISTRICT9901,1,5749,1486,1771,743,3590,FAC2882
2019,Western,DISTRICT9901,2,8313,1343,1641,908,2777,FAC2882
2019,Western,DISTRICT9901,3,2585,1454,3200,1350,4630,FAC2882
2019,Western,DISTRICT9901,4,4003,578,4428,863,2530,FAC2882
2019,Western,DISTRICT983,1,5419,1852,4586,1996,2114,FAC7670
2019,Western,DISTRICT983,2,2536,526,4854,1818,1614,FAC7670
2019,Western,DISTRICT983,3,5167,582,2783,1178,1513,FAC7670
2019,Western,DISTRICT983,4,5537,786,4881,1974,2412,FAC7670
2019,Western,DISTRICT983,1,1640,1440,3585,724,1479,FAC2670
2019,Western,DISTRICT983,2,6469,1566,4476,1157,3984,FAC2670
2019,Western,DISTRICT983,3,2656,1545,4540,1721,3716,FAC2670
2019,Western,DISTRICT983,4,3110,609,3716,1229,2402,FAC2670
2019,Western,DISTRICT983,1,4269,1770,2320,1717,3233,FAC8351
2019,Western,DISTRICT983,2,9136,1987,2465,1001,4439,FAC8351
2019,Western,DISTRICT983,3,8208,1061,4204,1592,4431,FAC8351
2019,Western,DISTRICT983,4,1810,559,3608,1412,4190,FAC8351
2019,Savannah,DISTRICT4588,1,5935,1446,4949,805,2645,FAC7461
2019,Savannah,DISTRICT4588,2,8009,1199,1978,1491,1888,FAC7461
2019,Savannah,DISTRICT4588,3,2319,1080,979,1664,2297,FAC7461
2019,Savannah,DISTRICT4588,4,7170,1463,1182,1166,1775,FAC7461
2019,Savannah,DISTRICT4588,1,9302,975,3214,833,4843,FAC9252
2019,Savannah,DISTRICT4588,2,5023,620,1808,1487,3855,FAC9252
2019,Savannah,DISTRICT4588,3,5730,646,1274,527,4450,FAC9252
2019,Savannah,DISTRICT4588,4,5115,1421,1348,1435,1538,FAC9252
2019,Savannah,DISTRICT3017,1,5832,1978,4875,1274,2973,FAC784
2019,Savannah,DISTRICT3017,2,6818,1341,2412,1278,1662,FAC784
2019,Savannah,DISTRICT3017,3,3370,1771,3586,924,4565,FAC784
2019,Savannah,DISTRICT3017,4,3177,691,3275,1992,1603,FAC784
2019,Savannah,DISTRICT3017,1,7009,1408,3052,1295,4575,FAC3301
2019,Savannah,DISTRICT3017,2,6587,1312,3961,1152,3697,FAC3301
2019,Savannah,DISTRICT3017,3,5215,750,4351,1875,2150,FAC3301
2019,Savannah,DISTRICT3017,4,2442,1790,4747,1869,4294,FAC3301
2019,Savannah,DISTRICT1045,1,7634,1941,2840,1364,985,FAC4430
2019,Savannah,DISTRICT1045,2,4179,792,1000,1817,1454,FAC4430
2019,Savannah,DISTRICT1045,3,3009,673,3108,654,3180,FAC4430
2019,Savannah,DISTRICT1045,4,4083,1581,4446,1560,1838,FAC4430
2019,Savannah,DISTRICT1045,1,2583,969,4068,531,2595,FAC5167
2019,Savannah,DISTRICT1045,2,4939,1845,1344,1088,4386,FAC5167
2019,Savannah,DISTRICT1045,3,4224,1191,4631,1616,2604,FAC5167
2019,Savannah,DISTRICT1045,4,6813,1888,3192,919,2683,FAC5167
2019,Savannah,DISTRICT7248,1,5989,1688,954,731,2419,FAC908
2019,Savannah,DISTRICT7248,2,2546,1338,4944,539,2316,FAC908
2019,Savannah,DISTRICT7248,3,3084,1689,2505,1071,854,FAC908
2019,Savannah,DISTRICT7248,4,2946,1881,1605,1841,4394,FAC908
2019,Savannah,DISTRICT1117,1,2430,1244,2428,1012,2079,FAC2148
2019,Savannah,DISTRICT1117,2,5920,1675,2007,789,3456,FAC2148
2019,Savannah,DISTRICT1117,3,2214,1188,4554,683,1762,FAC2148
2019,Savannah,DISTRICT1117,4,1679,850,2593,654,1674,FAC2148
2019,Savannah,DISTRICT1117,1,8687,1526,4946,1277,3603,FAC9961
2019,Savannah,DISTRICT1117,2,6874,1608,3350,1936,1989,FAC9961
2019,Savannah,DISTRICT1117,3,8283,1272,1030,1413,3203,FAC9961
2019,Savannah,DISTRICT1117,4,7912,1676,2204,1328,3402,FAC9961
2019,Savannah,DISTRICT1117,1,1112,1186,4245,1777,3445,FAC3561
2019,Savannah,DISTRICT1117,2,8613,1266,1947,907,4681,FAC3561
2019,Savannah,DISTRICT1117,3,4812,1620,967,1675,3349,FAC3561
2019,Savannah,DISTRICT1117,4,8240,1023,4093,814,2660,FAC3561
2019,Savannah,DISTRICT1117,1,7757,552,4398,704,2929,FAC2026
2019,Savannah,DISTRICT1117,2,2006,1611,3587,1356,4501,FAC2026
2019,Savannah,DISTRICT1117,3,3741,1004,3250,710,2808,FAC2026
2019,Savannah,DISTRICT1117,4,8691,1690,4591,1526,2683,FAC2026
2019,Bono East,DISTRICT9747,1,6574,1618,3995,1808,3586,FAC9318
2019,Bono East,DISTRICT9747,2,5519,1011,1359,673,4480,FAC9318
2019,Bono East,DISTRICT9747,3,7996,1404,2382,882,3871,FAC9318
2019,Bono East,DISTRICT9747,4,5301,1162,1991,1342,3657,FAC9318
2019,Bono East,DISTRICT9747,1,2465,579,1422,1845,1893,FAC4302
2019,Bono East,DISTRICT9747,2,2582,1690,4467,1980,4519,FAC4302
2019,Bono East,DISTRICT9747,3,8448,1200,4157,1560,2418,FAC4302
2019,Bono East,DISTRICT9747,4,6833,640,1059,1594,1545,FAC4302
2019,Bono East,DISTRICT9747,1,8476,794,1556,762,4898,FAC8969
2019,Bono East,DISTRICT9747,2,4044,566,943,1912,4237,FAC8969
2019,Bono East,DISTRICT9747,3,2862,685,815,1809,4532,FAC8969
2019,Bono East,DISTRICT9747,4,4621,1188,3114,1139,4513,FAC8969
2019,Bono East,DISTRICT9747,1,2790,1394,1451,1296,2240,FAC5275
2019,Bono East,DISTRICT9747,2,3473,1648,1871,883,2512,FAC5275
2019,Bono East,DISTRICT9747,3,5530,588,2590,1943,4593,FAC5275
2019,Bono East,DISTRICT9747,4,9783,1630,1601,810,3350,FAC5275
2019,Bono East,DISTRICT9747,1,7248,554,3452,1218,2427,FAC5997
2019,Bono East,DISTRICT9747,2,1144,1623,1304,555,2880,FAC5997
2019,Bono East,DISTRICT9747,3,5106,578,2092,1575,2652,FAC5997
2019,Bono East,DISTRICT9747,4,1184,1819,1743,1433,3048,FAC5997
2019,Bono East,DISTRICT9000,1,3190,1641,2400,1764,3584,FAC7169
2019,Bono East,DISTRICT9000,2,4109,722,1010,1885,926,FAC7169
2019,Bono East,DISTRICT9000,3,1379,673,3171,1764,1579,FAC7169
2019,Bono East,DISTRICT9000,4,7860,1191,4880,1513,3582,FAC7169
2019,Bono East,DISTRICT9000,1,1638,697,4305,993,3666,FAC7112
2019,Bono East,DISTRICT9000,2,2734,1752,4827,688,4634,FAC7112
2019,Bono East,DISTRICT9000,3,2791,1618,1011,1039,1211,FAC7112
2019,Bono East,DISTRICT9000,4,3117,1340,4731,1640,1494,FAC7112
2019,Bono East,DISTRICT9000,1,7655,1341,2168,1440,3111,FAC7814
2019,Bono East,DISTRICT9000,2,5579,877,1134,884,3092,FAC7814
2019,Bono East,DISTRICT9000,3,7681,998,1571,550,4561,FAC7814
2019,Bono East,DISTRICT9000,4,4391,1585,4890,1047,2841,FAC7814
2019,Bono East,DISTRICT1534,1,4826,1389,3693,1322,4553,FAC4209
2019,Bono East,DISTRICT1534,2,1449,681,3675,1031,3426,FAC4209
2019,Bono East,DISTRICT1534,3,4962,1811,3550,580,3327,FAC4209
2019,Bono East,DISTRICT1534,4,3417,1447,1194,1889,4806,FAC4209
2019,Bono East,DISTRICT1534,1,5037,1906,1034,1971,4398,FAC9758
2019,Bono East,DISTRICT1534,2,9626,1731,3647,1389,3826,FAC9758
2019,Bono East,DISTRICT1534,3,8570,1339,2681,1994,4300,FAC9758
2019,Bono East,DISTRICT1534,4,1732,800,4823,547,1536,FAC9758
2019,Bono East,DISTRICT1534,1,3258,810,4634,1563,1763,FAC8776
2019,Bono East,DISTRICT1534,2,6226,1978,1297,705,4721,FAC8776
2019,Bono East,DISTRICT1534,3,7509,1008,2066,856,3779,FAC8776
2019,Bono East,DISTRICT1534,4,4204,819,3307,967,3930,FAC8776
2019,Bono East,DISTRICT1534,1,5328,630,4859,1086,4767,FAC3685
2019,Bono East,DISTRICT1534,2,4415,1092,3419,1785,1432,FAC3685
2019,Bono East,DISTRICT1534,3,7254,1238,4728,1432,3386,FAC3685
2019,Bono East,DISTRICT1534,4,8947,1927,2929,868,3063,FAC3685
2019,Bono East,DISTRICT1534,1,8513,1032,879,761,1537,FAC3723
2019,Bono East,DISTRICT1534,2,2091,937,1604,630,3374,FAC3723
2019,Bono East,DISTRICT1534,3,8445,1557,1104,1105,2107,FAC3723
2019,Bono East,DISTRICT1534,4,9911,1326,4254,1543,4625,FAC3723
2019,Bono East,DISTRICT1970,1,9075,1202,1699,1759,851,FAC4877
2019,Bono East,DISTRICT1970,2,3716,1403,2161,1413,3581,FAC4877
2019,Bono East,DISTRICT1970,3,3974,1115,1588,1760,1855,FAC4877
2019,Bono East,DISTRICT1970,4,5969,500,2045,1085,4518,FAC4877
2019,Bono East,DISTRICT1970,1,7956,770,2039,1677,1817,FAC1394
2019,Bono East,DISTRICT1970,2,6264,678,4766,1375,1524,FAC1394
2019,Bono East,DISTRICT1970,3,1797,829,3320,1929,2152,FAC1394
2019,Bono East,DISTRICT1970,4,3216,521,3573,696,3059,FAC1394
2019,Bono East,DISTRICT1970,1,4066,1375,2942,669,2306,FAC6405
2019,Bono East,DISTRICT1970,2,6730,1665,4222,1645,3664,FAC6405
2019,Bono East,DISTRICT1970,3,4247,1960,1412,1348,4661,FAC6405
2019,Bono East,DISTRICT1970,4,5887,1139,1454,1555,959,FAC6405
2019,Bono East,DISTRICT1970,1,8955,1411,1235,1857,1516,FAC6033
2019,Bono East,DISTRICT1970,2,1223,1047,4228,788,4309,FAC6033
2019,Bono East,DISTRICT1970,3,1104,1808,1645,1169,4123,FAC6033
2019,Bono East,DISTRICT1970,4,9407,870,3263,1967,3034,FAC6033
2019,Bono East,DISTRICT1970,1,9653,1874,2565,530,2533,FAC8656
2019,Bono East,DISTRICT1970,2,5612,1537,2972,1567,1633,FAC8656
2019,Bono East,DISTRICT1970,3,4440,1803,2900,1987,4493,FAC8656
2019,Bono East,DISTRICT1970,4,1217,1999,1126,1069,3974,FAC8656
2019,Bono East,DISTRICT7523,1,5673,605,2307,649,1481,FAC9447
2019,Bono East,DISTRICT7523,2,9744,1166,4502,1443,3448,FAC9447
2019,Bono East,DISTRICT7523,3,4032,838,4961,1882,2676,FAC9447
2019,Bono East,DISTRICT7523,4,9910,1950,2561,1460,2611,FAC9447
2019,Bono East,DISTRICT7523,1,3622,1902,3688,1511,4436,FAC5752
2019,Bono East,DISTRICT7523,2,4644,1996,1691,1543,3794,FAC5752
