Year,Region,District,Cycle,3 to 11 months male,3 to 11 months female,12 to 59 months male,12 to 59 months female
2020,Upper East,DISTRICT6764,2,7869,1984,2282,1329
2020,Upper East,DISTRICT6764,3,2534,1018,1259,1586
2020,Upper East,DISTRICT6764,4,8585,747,896,1535
2020,Upper East,DISTRICT681,1,1795,818,1538,1483
2020,Upper East,DISTRICT681,2,3990,737,1651,1243
2020,Upper East,DISTRICT681,3,7450,1182,1432,831
2020,Upper East,DISTRICT681,4,5729,783,2514,1440
2020,Upper West,DISTRICT6229,1,4608,1446,1796,1014
2020,Upper West,DISTRICT6229,2,7683,866,1976,1356
2020,Upper West,DISTRICT6229,3,8273,1534,4053,1566
2020,Upper West,DISTRICT6229,4,2579,752,4857,657
2020,Upper West,DISTRICT9049,1,4423,1094,1653,992
2020,Upper West,DISTRICT9049,2,3696,969,4392,1903
2020,Upper West,DISTRICT9049,3,1170,742,2436,1270
2020,Upper West,DISTRICT9049,4,7539,1716,1210,1032
2020,Upper West,DISTRICT630,1,1668,677,2548,744
2020,Upper West,DISTRICT630,2,3522,1393,2135,952
2020,Upper West,DISTRICT630,3,9476,1615,1836,1436
2020,Upper West,DISTRICT630,4,3716,555,2159,610
2020,Upper West,DISTRICT2575,1,1736,537,1608,1889
2020,Upper West,DISTRICT2575,2,3814,1096,1239,844
2020,Upper West,DISTRICT2575,3,9936,810,4568,707
2020,Upper West,DISTRICT2575,4,1559,1917,2315,1539
2020,Upper West,DISTRICT1831,1,2971,1622,5000,1043
2020,Upper West,DISTRICT1831,2,1652,790,2463,1350
2020,Upper West,DISTRICT1831,3,7287,1612,3766,1593
2020,Upper West,DISTRICT1831,4,4792,1754,2521,846
2020,Volta,DISTRICT5266,1,6909,770,2487,1372
2020,Volta,DISTRICT5266,2,3880,1748,1372,1929
2020,Volta,DISTRICT5266,3,9533,1392,1639,1862
2020,Volta,DISTRICT5266,4,9603,609,1885,1000
2020,Volta,DISTRICT2706,1,3300,1020,1514,1370
2020,Volta,DISTRICT2706,2,5228,1961,2104,1329
2020,Volta,DISTRICT2706,3,6166,1556,1139,1946
2020,Volta,DISTRICT2706,4,1836,1362,2012,1557
2020,Volta,DISTRICT3240,1,6761,1993,897,1572
2020,Volta,DISTRICT3240,2,8446,947,841,965
2020,Volta,DISTRICT3240,3,5793,829,3240,1072
2020,Volta,DISTRICT3240,4,4884,1618,992,1670
2020,Volta,DISTRICT7323,1,7702,871,2856,1818
2020,Volta,DISTRICT7323,2,9136,548,4641,700
2020,Volta,DISTRICT7323,3,5496,1968,4784,1408
2020,Volta,DISTRICT7323,4,9516,1196,1207,1725
2020,Western,DISTRICT7534,1,8426,1954,3480,1155
2020,Western,DISTRICT7534,2,2026,1106,821,1913
2020,Western,DISTRICT7534,3,7391,1364,3074,976
2020,Western,DISTRICT7534,4,3054,871,2763,782
2020,Western,DISTRICT9812,1,4327,1690,870,780
2020,Western,DISTRICT9812,2,1717,574,3193,679
2020,Western,DISTRICT9812,3,4925,1586,2797,629
2020,Western,DISTRICT9812,4,4927,551,2758,1403
2020,Western,DISTRICT7173,1,4336,1055,4578,1189
2020,Western,DISTRICT7173,2,2899,1805,1043,1580
2020,Western,DISTRICT7173,3,3039,502,1052,1356
2020,Western,DISTRICT7173,4,2855,560,2976,563
2020,Western,DISTRICT8798,1,2982,1304,4293,1764
2020,Western,DISTRICT8798,2,4667,1731,4388,1438
2020,Western,DISTRICT8798,3,8131,534,2562,508
2020,Western,DISTRICT8798,4,9721,1504,3503,1696
2020,Savannah,DISTRICT2177,1,7605,1025,1643,944
2020,Savannah,DISTRICT2177,2,9570,568,932,545
2020,Savannah,DISTRICT2177,3,6724,1218,2314,1772
2020,Savannah,DISTRICT2177,4,5699,655,1440,1770
2020,Savannah,DISTRICT346,1,3417,1457,3539,1136
2020,Savannah,DISTRICT346,2,3503,894,817,1356
2020,Savannah,DISTRICT346,3,3904,1274,1576,1947
2020,Savannah,DISTRICT346,4,6595,1031,821,1246
2020,Savannah,DISTRICT7754,1,3334,1939,4064,1453
2020,Savannah,DISTRICT7754,2,6620,643,3302,1177
2020,Savannah,DISTRICT7754,3,9110,715,4971,681
2020,Savannah,DISTRICT7754,4,1909,826,2188,1244
2020,Bono East,DISTRICT9266,1,4951,1330,4836,1262
2020,Bono East,DISTRICT9266,2,1443,740,1493,1544
2020,Bono East,DISTRICT9266,3,4810,1812,1323,878
2020,Bono East,DISTRICT9266,4,5103,557,1265,1171
2020,Bono East,DISTRICT546,1,9496,1947,828,1909
2020,Bono East,DISTRICT546,2,1812,1716,2254,509
2020,Bono East,DISTRICT546,3,3706,1159,3042,709
2020,Bono East,DISTRICT546,4,9555,1619,1465,776
2020,Oti,DISTRICT383,1,9038,573,4829,1650
2020,Oti,DISTRICT383,2,8781,1173,2478,1902
2020,Oti,DISTRICT383,3,5816,741,4844,1422
2020,Oti,DISTRICT383,4,1906,874,1200,799
2020,Oti,DISTRICT4111,1,1818,1529,3813,1460
2020,Oti,DISTRICT4111,2,6307,645,3202,566
2020,Oti,DISTRICT4111,3,9648,1734,4933,1308
2020,Oti,DISTRICT4111,4,9963,1148,2668,1240
2020,Oti,DISTRICT9750,1,6261,694,2165,1537
2020,Oti,DISTRICT9750,2,4937,782,3912,1261
2020,Oti,DISTRICT9750,3,3552,706,3838,1867
2020,Oti,DISTRICT9750,4,7329,1839,2854,1995
2020,Oti,DISTRICT302,1,3642,943,883,820
2020,Oti,DISTRICT302,2,2448,1368,4605,1630
2020,Oti,DISTRICT302,3,7666,1818,1279,953
2020,Oti,DISTRICT302,4,7679,1722,1693,985
2020,Oti,DISTRICT1034,1,7032,1867,3858,1700
2020,Oti,DISTRICT1034,2,2262,1064,3618,1775
2020,Oti,DISTRICT1034,3,8988,581,1606,1769
2020,Oti,DISTRICT1034,4,6914,1335,4579,1499
2020,Ahafo,DISTRICT4036,1,3404,1151,4963,1066
2020,Ahafo,DISTRICT4036,2,7789,1131,4978,1916
2020,Ahafo,DISTRICT4036,3,4721,1822,1129,1526
2020,Ahafo,DISTRICT4036,4,5370,577,4713,809
2020,Ahafo,DISTRICT9821,1,3125,1964,2089,644
2020,Ahafo,DISTRICT9821,2,6752,1120,1627,976
2020,Ahafo,DISTRICT9821,3,4869,1167,3394,1470
2020,Ahafo,DISTRICT9821,4,3145,904,3531,977
2020,Ahafo,DISTRICT9966,1,9051,528,3729,874
2020,Ahafo,DISTRICT9966,2,9721,1714,1597,1647
2020,Ahafo,DISTRICT9966,3,3427,1216,2617,943
2020,Ahafo,DISTRICT9966,4,6570,1528,1387,536
2020,Ahafo,DISTRICT2584,1,4018,1116,4116,1763
2020,Ahafo,DISTRICT2584,2,1183,1664,2482,1483
2020,Ahafo,DISTRICT2584,3,8034,1878,975,1314
2020,Ahafo,DISTRICT2584,4,7185,1105,3691,1577
2020,Western North,DISTRICT417,1,8966,1619,1315,1875
2020,Western North,DISTRICT417,2,6017,871,2564,990
2020,Western North,DISTRICT417,3,8812,1404,1100,1208
2020,Western North,DISTRICT417,4,3688,782,4865,856
2020,Western North,DISTRICT4714,1,5358,1003,4169,1259
2020,Western North,DISTRICT4714,2,8945,759,3820,587
2020,Western North,DISTRICT4714,3,7005,1441,801,908
2020,Western North,DISTRICT4714,4,1552,1401,1054,1885
2020,Western North,DISTRICT947,1,8158,1796,1886,574
2020,Western North,DISTRICT947,2,3898,787,3833,1209
2020,Western North,DISTRICT947,3,4681,1321,4073,899
2020,Western North,DISTRICT947,4,5868,1751,3396,1264
2020,North East,DISTRICT5496,1,9333,564,1905,717
2020,North East,DISTRICT5496,2,8342,814,2770,1862
2020,North East,DISTRICT5496,3,9476,784,1842,1724
2020,North East,DISTRICT5496,4,7868,1796,3890,1027
2020,North East,DISTRICT3465,1,8903,755,4924,1822
2020,North East,DISTRICT3465,2,1070,1828,1760,881
2020,North East,DISTRICT3465,3,5044,1998,2963,965
2020,North East,DISTRICT3465,4,2162,602,2883,1008
2021,Ashanti,DISTRICT7079,1,7462,932,3535,937
2021,Ashanti,DISTRICT7079,2,1258,1776,1497,1117
2021,Ashanti,DISTRICT7079,3,8227,1629,3552,1176
2021,Ashanti,DISTRICT7079,4,6509,810,4445,1731
2021,Ashanti,DISTRICT3121,1,1958,1546,1867,1170
2021,Ashanti,DISTRICT3121,2,3197,525,2874,622
2021,Ashanti,DISTRICT3121,3,3986,1850,2257,1917
2021,Ashanti,DISTRICT3121,4,5747,654,4237,1205
2021,Ashanti,DISTRICT3723,1,4712,905,3604,1192
2021,Ashanti,DISTRICT3723,2,5796,1196,2295,582
2021,Ashanti,DISTRICT3723,3,7766,595,1302,799
2021,Ashanti,DISTRICT3723,4,2107,1516,3164,557
2021,Brong Ahafo,DISTRICT263,1,3603,1065,3877,1261
2021,Brong Ahafo,DISTRICT263,2,1133,1325,1680,1102
2021,Brong Ahafo,DISTRICT263,3,3855,621,3113,1856
2021,Brong Ahafo,DISTRICT263,4,6262,1895,4486,1414
2021,Central,DISTRICT3431,1,5067,1163,2581,1900
2021,Central,DISTRICT3431,2,9517,776,1372,891
2021,Central,DISTRICT3431,3,4969,1126,4886,1090
2021,Central,DISTRICT3431,4,1889,1790,963,1616
2021,Eastern,DISTRICT5984,1,1709,644,899,1928
2021,Eastern,DISTRICT5984,2,7077,1389,3087,1503
2021,Eastern,DISTRICT5984,3,1152,1008,1408,1153
2021,Eastern,DISTRICT5984,4,2337,1482,1135,1224
2021,Eastern,DISTRICT4991,1,1482,721,2460,830
2021,Eastern,DISTRICT4991,2,8474,1868,1782,1238
2021,Eastern,DISTRICT4991,3,1521,636,2855,1278
2021,Eastern,DISTRICT4991,4,2799,1792,3140,514
2021,Eastern,DISTRICT9321,1,4862,1516,2513,660
2021,Eastern,DISTRICT9321,2,3762,1113,2359,1705
2021,Eastern,DISTRICT9321,3,7036,1382,1494,650
2021,Eastern,DISTRICT9321,4,3293,1761,4436,1194
2021,Greater Accra,DISTRICT5716,1,5178,1754,1361,1469
2021,Greater Accra,DISTRICT5716,2,3253,1902,1012,1525
2021,Greater Accra,DISTRICT5716,3,3148,802,3296,627
2021,Greater Accra,DISTRICT5716,4,8068,642,4766,1215
2021,Greater Accra,DISTRICT8168,1,5879,1651,828,1108
2021,Greater Accra,DISTRICT8168,2,2095,1084,1036,1321
2021,Greater Accra,DISTRICT8168,3,7331,1954,2520,728
2021,Greater Accra,DISTRICT8168,4,6420,1444,4884,1599
2021,Greater Accra,DISTRICT690,1,4771,653,2728,1482
2021,Greater Accra,DISTRICT690,2,2779,1022,4952,513
2021,Greater Accra,DISTRICT690,3,2152,1064,2702,1130
2021,Greater Accra,DISTRICT690,4,1748,802,1405,1264
2021,Greater Accra,DISTRICT4709,1,1087,1637,3453,1390
2021,Greater Accra,DISTRICT4709,2,1692,1441,1529,1322
2021,Greater Accra,DISTRICT4709,3,8082,1800,2702,1671
2021,Greater Accra,DISTRICT4709,4,4955,873,3859,1837
2021,Northern,DISTRICT6061,1,7910,1467,1461,644
2021,Northern,DISTRICT6061,2,2631,1329,1640,1980
2021,Northern,DISTRICT6061,3,2485,1461,4235,881
2021,Northern,DISTRICT6061,4,2551,621,1105,665
2021,Northern,DISTRICT8976,1,9153,1472,2723,1280
2021,Northern,DISTRICT8976,2,5563,1108,1485,987
2021,Northern,DISTRICT8976,3,7564,1554,947,741
2021,Northern,DISTRICT8976,4,7447,1473,2959,1093
2021,Northern,DISTRICT7943,1,6239,731,1608,1296
2021,Northern,DISTRICT7943,2,9828,1049,900,792
2021,Northern,DISTRICT7943,3,4343,982,3816,1777
2021,Northern,DISTRICT7943,4,4849,763,2152,1731
2021,Northern,DISTRICT4512,1,3160,649,1210,1838
2021,Northern,DISTRICT4512,2,1249,1842,2159,1060
2021,Northern,DISTRICT4512,3,3993,1150,2506,711
2021,Northern,DISTRICT4512,4,9998,1043,955,1872
2021,Northern,DISTRICT5777,1,3037,998,2472,1771
2021,Northern,DISTRICT5777,2,8493,1492,3397,1770
2021,Northern,DISTRICT5777,3,6052,1480,3910,992
2021,Northern,DISTRICT5777,4,3591,962,2260,746
2021,Upper East,DISTRICT3960,1,9060,1535,4828,1190
2021,Upper East,DISTRICT3960,2,2276,1094,3837,1186
2021,Upper East,DISTRICT3960,3,4134,1532,4055,811
2021,Upper East,DISTRICT3960,4,8640,1055,1357,845
2021,Upper East,DISTRICT2400,1,7895,1556,4981,1011
2021,Upper East,DISTRICT2400,2,1617,1195,4169,727
2021,Upper East,DISTRICT2400,3,5799,1215,3727,1974
2021,Upper East,DISTRICT2400,4,2913,944,3970,753
2021,Upper East,DISTRICT9990,1,6153,1893,4117,1885
2021,Upper East,DISTRICT9990,2,1820,712,1589,1781
2021,Upper East,DISTRICT9990,3,6790,1926,4619,1887
2021,Upper East,DISTRICT9990,4,7026,1399,4993,1602
2021,Upper East,DISTRICT5653,1,6041,1147,4543,658
2021,Upper East,DISTRICT5653,2,9919,871,1770,1416
2021,Upper East,DISTRICT5653,3,9859,1310,4185,1605
2021,Upper East,DISTRICT5653,4,4845,776,1545,1508
2021,Upper East,DISTRICT3307,1,4376,1479,4134,856
2021,Upper East,DISTRICT3307,2,4968,849,3276,1792
2021,Upper East,DISTRICT3307,3,4966,991,2198,590
2021,Upper East,DISTRICT3307,4,8342,1027,3252,1865
2021,Upper West,DISTRICT7743,1,9964,891,2716,1660
2021,Upper West,DISTRICT7743,2,9743,1218,1940,1407
2021,Upper West,DISTRICT7743,3,4755,993,3993,1922
2021,Upper West,DISTRICT7743,4,3030,1801,1602,616
2021,Upper West,DISTRICT8720,1,6690,1108,3433,1415
2021,Upper West,DISTRICT8720,2,7045,1875,2491,1593
2021,Upper West,DISTRICT8720,3,2884,1795,1234,1709
2021,Upper West,DISTRICT8720,4,1786,1170,2055,843
2021,Upper West,DISTRICT2583,1,5455,1446,1113,974
2021,Upper West,DISTRICT2583,2,3182,1752,3363,523
2021,Upper West,DISTRICT2583,3,9330,551,2738,1402
2021,Upper West,DISTRICT2583,4,1519,786,4207,1469
2021,Upper West,DISTRICT8379,1,5204,1055,1447,635
2021,Upper West,DISTRICT8379,2,6516,1980,1825,597
2021,Upper West,DISTRICT8379,3,8499,1710,4165,1464
2021,Upper West,DISTRICT8379,4,5349,1559,1104,1781
2021,Volta,DISTRICT4185,1,7142,1672,4812,608
2021,Volta,DISTRICT4185,2,8537,745,4058,1013
2021,Volta,DISTRICT4185,3,5931,1884,1055,607
2021,Volta,DISTRICT4185,4,5704,890,981,572
2021,Volta,DISTRICT9428,1,8346,1168,3007,1331
2021,Volta,DISTRICT9428,2,8636,732,902,1706
2021,Volta,DISTRICT9428,3,4131,501,3554,1812
2021,Volta,DISTRICT9428,4,1219,1493,4247,757
2021,Volta,DISTRICT3076,1,4088,1712,4132,1449
2021,Volta,DISTRICT3076,2,3702,1151,1990,619
2021,Volta,DISTRICT3076,3,4479,859,4558,879
2021,Volta,DISTRICT3076,4,3192,634,2574,1927
2021,Western,DISTRICT8973,1,4552,1942,4477,1631
2021,Western,DISTRICT8973,2,2151,1585,853,773
2021,Western,DISTRICT8973,3,8539,807,1259,545
2021,Western,DISTRICT8973,4,4512,676,4281,1921
2021,Western,DISTRICT8591,1,7866,1266,4916,1433
2021,Western,DISTRICT8591,2,8689,1559,2495,1534
2021,Western,DISTRICT8591,3,2688,1150,2156,906
2021,Western,DISTRICT8591,4,9153,1460,3300,1724
2021,Western,DISTRICT2994,1,1581,1127,2392,786
2021,Western,DISTRICT2994,2,7944,1817,1455,1587
2021,Western,DISTRICT2994,3,1026,1684,4542,1328
2021,Western,DISTRICT2994,4,6525,600,2036,1730
2021,Western,DISTRICT2474,1,2528,887,3995,1302
2021,Western,DISTRICT2474,2,3547,1932,1406,630
2021,Western,DISTRICT2474,3,4453,1121,4489,1092
2021,Western,DISTRICT2474,4,1460,678,4971,1060
2021,Savannah,DISTRICT3479,1,7835,1456,1243,1496
2021,Savannah,DISTRICT3479,2,4421,1041,2041,1871
2021,Savannah,DISTRICT3479,3,7148,1179,2246,1881
2021,Savannah,DISTRICT3479,4,7679,935,1318,768
2021,Savannah,DISTRICT981,1,4124,879,4127,1011
2021,Savannah,DISTRICT981,2,8695,867,3644,582
2021,Savannah,DISTRICT981,3,7999,1145,4898,1371
2021,Savannah,DISTRICT981,4,6768,692,3022,1884
2021,Savannah,DISTRICT5490,1,9886,1232,900,1992
2021,Savannah,DISTRICT5490,2,4530,1864,2703,1238
2021,Savannah,DISTRICT5490,3,3478,911,3968,1312
2021,Savannah,DISTRICT5490,4,5793,856,2129,1112
2021,Savannah,DISTRICT7508,1,8759,764,1838,1634
2021,Savannah,DISTRICT7508,2,2854,1731,3460,1487
2021,Savannah,DISTRICT7508,3,3388,1361,1870,1687
2021,Savannah,DISTRICT7508,4,4012,701,1366,791
2021,Bono East,DISTRICT6833,1,9270,1978,916,578
2021,Bono East,DISTRICT6833,2,7453,1964,3036,829
2021,Bono East,DISTRICT6833,3,8656,650,2258,1272
2021,Bono East,DISTRICT6833,4,5693,801,1616,1703
2021,Bono East,DISTRICT7563,1,3790,1132,836,1487
2021,Bono East,DISTRICT7563,2,5994,776,4588,1260
2021,Bono East,DISTRICT7563,3,1889,1938,4005,710
2021,Bono East,DISTRICT7563,4,4744,1904,2913,559
2021,Bono East,DISTRICT9386,1,6955,502,4986,1824
2021,Bono East,DISTRICT9386,2,9873,748,4016,956
2021,Bono East,DISTRICT9386,3,2235,955,4431,517
2021,Bono East,DISTRICT9386,4,7868,827,1607,700
2021,Bono East,DISTRICT6285,1,5425,974,1085,1819
2021,Bono East,DISTRICT6285,2,2208,1639,4081,1873
2021,Bono East,DISTRICT6285,3,5386,1920,1974,1097
2021,Bono East,DISTRICT6285,4,4120,1046,3135,1767
2021,Bono East,DISTRICT1934,1,6123,1922,4458,699
2021,Bono East,DISTRICT1934,2,2582,1163,3517,1232
2021,Bono East,DISTRICT1934,3,5794,631,3166,1960
2021,Bono East,DISTRICT1934,4,3615,1137,4401,1082
2021,Oti,DISTRICT8777,1,4178,1424,887,1807
2021,Oti,DISTRICT8777,2,8441,1415,4526,1864
2021,Oti,DISTRICT8777,3,6352,574,3018,1508
2021,Oti,DISTRICT8777,4,6307,1617,1881,1167
2021,Oti,DISTRICT1737,1,9134,1523,4753,711
2021,Oti,DISTRICT1737,2,3275,651,1049,1029
2021,Oti,DISTRICT1737,3,7153,1955,4043,838
2021,Oti,DISTRICT1737,4,2435,554,925,1523
2021,Oti,DISTRICT6863,1,7841,635,3453,955
2021,Oti,DISTRICT6863,2,4032,1380,4458,1677
2021,Oti,DISTRICT6863,3,9961,983,829,1706
2021,Oti,DISTRICT6863,4,9408,706,3035,551
2021,Oti,DISTRICT2669,1,8344,818,4070,1663
2021,Oti,DISTRICT2669,2,7693,857,2079,1375
2021,Oti,DISTRICT2669,3,6095,685,1687,922
2021,Oti,DISTRICT2669,4,8556,1313,3193,1305
2021,Ahafo,DISTRICT3855,1,9167,1474,1113,914
2021,Ahafo,DISTRICT3855,2,4903,878,4234,1221
2021,Ahafo,DISTRICT3855,3,1422,1746,3723,500
2021,Ahafo,DISTRICT3855,4,3270,974,927,646
2021,Ahafo,DISTRICT4419,1,7290,516,1225,1087
2021,Ahafo,DISTRICT4419,2,6589,1981,4347,575
2021,Ahafo,DISTRICT4419,3,8103,898,1438,1253
2021,Ahafo,DISTRICT4419,4,7635,1863,2434,739
2021,Ahafo,DISTRICT1807,1,2733,1740,3395,1088
2021,Ahafo,DISTRICT1807,2,8134,645,2662,1243
2021,Ahafo,DISTRICT1807,3,7175,1414,977,1449
2021,Ahafo,DISTRICT1807,4,2540,1902,4390,570
2021,Ahafo,DISTRICT9886,1,5232,1085,1235,1039
2021,Ahafo,DISTRICT9886,2,9884,1197,1054,907
2021,Ahafo,DISTRICT9886,3,4531,521,1747,878
2021,Ahafo,DISTRICT9886,4,4534,1572,1011,1816
2021,Ahafo,DISTRICT9411,1,6481,1909,2049,1244
2021,Ahafo,DISTRICT9411,2,6631,508,4473,573
2021,Ahafo,DISTRICT9411,3,6688,1461,2884,994
2021,Ahafo,DISTRICT9411,4,8636,1580,3796,787
2021,Western North,DISTRICT5537,1,2879,1685,3179,723
2021,Western North,DISTRICT5537,2,8435,1882,2721,1835
2021,Western North,DISTRICT5537,3,1803,1275,3628,1670
2021,Western North,DISTRICT5537,4,7318,1657,3726,1390
2021,North East,DISTRICT1472,1,2316,1526,4269,1948
2021,North East,DISTRICT1472,2,9687,1739,2175,1875
2021,North East,DISTRICT1472,3,8841,1694,2831,1271
2021,North East,DISTRICT1472,4,7577,1135,3746,648
2021,North East,DISTRICT8913,1,2796,1272,1516,1432
2021,North East,DISTRICT8913,2,7739,865,2078,1432
2021,North East,DISTRICT8913,3,4252,567,3345,718
2021,North East,DISTRICT8913,4,9088,1476,2119,1610
2022,Ashanti,DISTRICT3577,1,1242,589,2943,1104
2022,Ashanti,DISTRICT3577,2,2195,1576,1680,1505
2022,Ashanti,DISTRICT3577,3,6207,1177,3330,595
2022,Ashanti,DISTRICT3577,4,8311,1158,2464,1100
2022,Brong Ahafo,DISTRICT993,1,5664,692,843,1153
2022,Brong Ahafo,DISTRICT993,2,9160,909,3804,532
2022,Brong Ahafo,DISTRICT993,3,4836,1504,4702,693
2022,Brong Ahafo,DISTRICT993,4,3269,1911,4882,1987
2022,Brong Ahafo,DISTRICT2583,1,2737,849,3845,1016
2022,Brong Ahafo,DISTRICT2583,2,5122,1097,884,917
2022,Brong Ahafo,DISTRICT2583,3,1056,795,3058,731
2022,Brong Ahafo,DISTRICT2583,4,4925,698,3729,1021
2022,Brong Ahafo,DISTRICT3082,1,1738,536,2020,557
2022,Brong Ahafo,DISTRICT3082,2,4877,1997,2920,1036
2022,Brong Ahafo,DISTRICT3082,3,8495,1720,3584,756
2022,Brong Ahafo,DISTRICT3082,4,1746,1431,2343,1204
2022,Brong Ahafo,DISTRICT1878,1,7650,1729,4053,810
2022,Brong Ahafo,DISTRICT1878,2,6389,505,3805,1168
2022,Brong Ahafo,DISTRICT1878,3,5073,983,1021,1199
2022,Brong Ahafo,DISTRICT1878,4,7175,1316,4633,511
2022,Central,DISTRICT5591,1,1014,815,1829,1518
2022,Central,DISTRICT5591,2,6131,1949,2123,1659
2022,Central,DISTRICT5591,3,2083,1664,4861,1794
2022,Central,DISTRICT5591,4,9715,1510,2961,1355
2022,Central,DISTRICT6758,1,7729,1655,2100,1979
2022,Central,DISTRICT6758,2,1297,973,2558,956
2022,Central,DISTRICT6758,3,9014,504,4458,1916
2022,Central,DISTRICT6758,4,2132,930,1540,1762
2022,Eastern,DISTRICT1361,1,3044,1470,1450,1811
2022,Eastern,DISTRICT1361,2,9801,1042,2511,1817
2022,Eastern,DISTRICT1361,3,4577,1916,1473,1853
2022,Eastern,DISTRICT1361,4,4506,1845,1493,1760
2022,Greater Accra,DISTRICT340,1,2108,1192,1842,1196
2022,Greater Accra,DISTRICT340,2,4906,555,3795,1608
2022,Greater Accra,DISTRICT340,3,7025,1527,938,1014
2022,Greater Accra,DISTRICT340,4,9932,1636,4238,986
2022,Greater Accra,DISTRICT1300,1,2567,904,2415,1519
2022,Greater Accra,DISTRICT1300,2,3835,812,3457,1737
2022,Greater Accra,DISTRICT1300,3,1501,970,2929,1440
2022,Greater Accra,DISTRICT1300,4,6662,1771,1041,1950
2022,Greater Accra,DISTRICT7941,1,6501,1127,1111,1546
2022,Greater Accra,DISTRICT7941,2,9867,637,3610,721
2022,Greater Accra,DISTRICT7941,3,9676,1847,3782,1358
2022,Greater Accra,DISTRICT7941,4,3669,644,4551,980
2022,Greater Accra,DISTRICT4152,1,2805,990,2853,1069
2022,Greater Accra,DISTRICT4152,2,5389,1730,2598,1446
2022,Greater Accra,DISTRICT4152,3,6772,1573,2975,578
2022,Greater Accra,DISTRICT4152,4,2644,1423,3232,1447
2022,Greater Accra,DISTRICT6505,1,5270,1064,3233,643
2022,Greater Accra,DISTRICT6505,2,6464,1969,1165,1859
2022,Greater Accra,DISTRICT6505,3,4177,879,3283,1414
2022,Greater Accra,DISTRICT6505,4,5938,995,3066,1947
2022,Northern,DISTRICT6923,1,3301,696,2034,607
2022,Northern,DISTRICT6923,2,8878,548,3315,1199
2022,Northern,DISTRICT6923,3,6028,1929,1871,979
2022,Northern,DISTRICT6923,4,8388,874,3641,938
2022,Upper East,DISTRICT738,1,2757,992,2143,810
2022,Upper East,DISTRICT738,2,3421,1049,968,1893
2022,Upper East,DISTRICT738,3,6090,1132,2384,819
2022,Upper East,DISTRICT738,4,8426,1248,4390,1531
2022,Upper West,DISTRICT6132,1,7421,767,2478,658
2022,Upper West,DISTRICT6132,2,8479,1207,2955,1921
2022,Upper West,DISTRICT6132,3,7670,1961,1302,1084
2022,Upper West,DISTRICT6132,4,7538,625,3898,849
2022,Volta,DISTRICT5196,1,1354,1405,3598,1404
2022,Volta,DISTRICT5196,2,3350,1903,2972,1348
2022,Volta,DISTRICT5196,3,9714,654,2870,890
2022,Volta,DISTRICT5196,4,1638,1903,2533,1266
2022,Western,DISTRICT1902,1,8421,994,4287,1928
2022,Western,DISTRICT1902,2,5516,804,2960,1785
2022,Western,DISTRICT1902,3,5780,1690,1934,881
2022,Western,DISTRICT1902,4,5318,1956,3206,1179
2022,Western,DISTRICT2245,1,9808,525,2639,1981
2022,Western,DISTRICT2245,2,1129,682,2022,1788
2022,Western,DISTRICT2245,3,1959,586,1494,924
2022,Western,DISTRICT2245,4,9114,911,4055,946
2022,Western,DISTRICT6192,1,7806,1199,4460,722
2022,Western,DISTRICT6192,2,9588,1190,3695,1644
2022,Western,DISTRICT6192,3,9521,1626,2441,1017
2022,Western,DISTRICT6192,4,4553,1163,3239,543
2022,Western,DISTRICT471,1,8119,1405,1310,1306
2022,Western,DISTRICT471,2,9299,1476,2982,1098
2022,Western,DISTRICT471,3,3527,1968,3818,1806
2022,Western,DISTRICT471,4,2046,773,4652,1118
2022,Western,DISTRICT9293,1,2511,592,871,1150
2022,Western,DISTRICT9293,2,3299,1087,2207,1360
2022,Western,DISTRICT9293,3,9164,1781,3047,1581
2022,Western,DISTRICT9293,4,8029,1428,3890,985
2022,Savannah,DISTRICT3980,1,7521,1612,4976,555
2022,Savannah,DISTRICT3980,2,9540,1456,1128,1268
2022,Savannah,DISTRICT3980,3,3724,1025,1737,505
2022,Savannah,DISTRICT3980,4,1786,1301,3131,1136
2022,Savannah,DISTRICT9238,1,2660,951,2753,1133
2022,Savannah,DISTRICT9238,2,7052,650,1642,1962
2022,Savannah,DISTRICT9238,3,5324,762,2882,1422
2022,Savannah,DISTRICT9238,4,3161,1558,1463,1803
2022,Savannah,DISTRICT1545,1,2940,1575,2102,1655
2022,Savannah,DISTRICT1545,2,2709,1607,3774,600
2022,Savannah,DISTRICT1545,3,7125,1443,2671,1053
2022,Savannah,DISTRICT1545,4,9548,1957,4909,1656
2022,Bono East,DISTRICT1438,1,1227,1439,3977,628
2022,Bono East,DISTRICT1438,2,1764,569,2429,822
2022,Bono East,DISTRICT1438,3,9518,987,894,1275
2022,Bono East,DISTRICT1438,4,2487,916,3779,1083
2022,Bono East,DISTRICT1090,1,3469,910,3286,1570
2022,Bono East,DISTRICT1090,2,1574,1648,4161,604
2022,Bono East,DISTRICT1090,3,4271,1337,3602,1880
2022,Bono East,DISTRICT1090,4,6148,1336,3262,1275
2022,Bono East,DISTRICT1038,1,9542,1292,3011,1094
2022,Bono East,DISTRICT1038,2,6509,1798,2408,1445
2022,Bono East,DISTRICT1038,3,5221,1450,2025,1276
2022,Bono East,DISTRICT1038,4,1981,1207,3986,673
2022,Bono East,DISTRICT4861,1,1653,1055,2256,1922
2022,Bono East,DISTRICT4861,2,4750,1861,2493,557
2022,Bono East,DISTRICT4861,3,7598,994,3799,734
